,Nombre,Bailabilidad,Energía,Acústica,Duración (ms),Instrumentalidad,Sonoridad,Tempo,Discursividad,Género
18,Hosanna,0.403,0.658,0.0331,330360,0.00137,-4.713,153.903,0.0314,world-music
19,Fix My Eyes,0.587,0.739,0.0539,215933,2.08e-06,-5.762,100.005,0.0365,world-music
20,Priceless,0.529,0.769,0.00532,208520,0.0,-6.369,73.946,0.0469,world-music
21,joy.,0.68,0.536,0.0102,233947,0.00105,-6.669,119.958,0.0582,world-music
22,Good Grace - Live,0.425,0.695,0.00438,353547,0.0,-7.93,142.11,0.0477,world-music
23,Oceans (Where Feet May Fail) - Radio Version,0.495,0.608,0.204,249640,0.0,-9.378,131.962,0.0305,world-music
24,TOGETHER,0.389,0.784,0.203,206104,1.13e-05,-4.389,178.093,0.13,world-music
25,O Praise The Name (Anástasis) - Live,0.389,0.488,0.0047,329213,0.0,-7.466,144.339,0.0301,world-music
26,Home,0.522,0.354,0.765,196706,0.00054,-8.805,134.871,0.0311,world-music
27,Another In The Fire,0.457,0.563,0.506,261653,0.0,-7.945,135.647,0.036,world-music
28,Touch The Sky,0.502,0.43,0.263,262120,7.48e-06,-9.466,90.5,0.0271,world-music
29,Awake My Soul,0.455,0.587,0.00134,264320,0.0,-8.665,126.836,0.0336,world-music
30,Chan Chan,0.396,0.496,0.833,256653,0.00534,-11.728,165.647,0.0356,world-music
31,Highlands (Song Of Ascent) - Live,0.328,0.51,0.038,390427,1.14e-06,-9.791,92.45,0.0299,world-music
32,Touch Of Heaven - Live,0.4,0.438,0.133,427547,0.0,-7.934,134.893,0.0295,world-music
33,The Proof of Your Love,0.396,0.671,0.0984,197320,0.0,-6.953,156.072,0.0351,world-music
34,Who You Say I Am,0.368,0.654,0.00518,199520,0.0,-8.656,171.78,0.0398,world-music
35,Love Me Like I Am (R3HAB Remix),0.6,0.761,0.161,169922,0.000339,-6.418,106.051,0.0548,world-music
36,Another In The Fire - Studio,0.497,0.566,0.0901,265519,0.0,-7.07,129.865,0.0331,world-music
37,Not Today,0.471,0.727,0.00191,253653,1.73e-05,-7.715,183.941,0.0505,world-music
38,RELATE,0.694,0.566,0.064,173500,7.77e-06,-8.639,100.008,0.17,world-music
39,Grace To Grace (Staring Out Into The Old City) - Live,0.56,0.58,0.0317,365768,0.0,-8.323,121.01,0.0295,world-music
40,I Surrender - Live,0.273,0.529,0.0211,346347,0.00284,-7.353,154.1,0.034,world-music
41,Here I Am To Worship - Live,0.392,0.44,0.449,220827,0.0,-6.711,143.921,0.0282,world-music
42,Amen,0.64,0.469,0.00758,227013,0.000453,-8.718,90.001,0.0412,world-music
43,TOGETHER,0.389,0.786,0.216,206104,8.23e-06,-4.392,178.103,0.138,world-music
44,Spirit Break Out - Live,0.185,0.717,0.0496,382573,0.0,-5.735,73.6,0.0455,world-music
45,From The Inside Out - Live,0.443,0.474,0.138,378987,0.0,-7.99,137.928,0.0261,world-music
46,Know You Will,0.558,0.564,0.0492,218507,0.0,-8.527,128.002,0.0303,world-music
47,New Wine - Live,0.377,0.31,0.065,490000,0.0,-10.067,140.212,0.029,world-music
48,Shoulders,0.518,0.744,0.171,303307,7.63e-06,-7.106,98.022,0.0351,world-music
49,What A Beautiful Name,0.429,0.518,0.189,240200,0.0,-5.574,135.96,0.0294,world-music
0,Vivir Mi Vida,0.656,0.877,0.345,252347,0.0,-3.231,105.018,0.0342,salsa
1,Llorarás,0.704,0.884,0.549,228554,0.000364,-6.275,93.058,0.0527,salsa
2,Suavemente,0.811,0.88,0.254,267000,0.00146,-2.972,124.12,0.0628,salsa
3,Ven Devórame Otra Vez,0.643,0.602,0.667,311400,8.62e-05,-9.28,83.778,0.0438,salsa
4,Yo No Sé Mañana,0.653,0.827,0.649,259853,0.0,-3.206,95.223,0.042,salsa
5,Que Locura Enamorarme De Ti,0.746,0.786,0.538,308040,8e-06,-7.273,93.767,0.0428,salsa
6,Tu Amor Me Hace Bien - Salsa Version,0.691,0.658,0.398,300160,4.58e-05,-6.496,97.68,0.0359,salsa
7,Tú Con Él,0.827,0.781,0.188,302253,0.000759,-5.914,95.411,0.0502,salsa
8,Flor Pálida,0.574,0.802,0.659,280453,5.07e-06,-3.976,93.537,0.0316,salsa
9,Corazon de Acero,0.608,0.769,0.484,225953,4.77e-06,-4.028,83.892,0.0434,salsa
10,Virgen,0.66,0.756,0.727,273763,0.000323,-4.903,90.839,0.0443,salsa
11,En Barranquilla Me Quedo,0.642,0.7,0.172,312480,0.000232,-9.213,103.899,0.0552,salsa
12,La Vida Es Un Carnaval,0.813,0.701,0.489,278867,0.00116,-6.508,104.019,0.0701,salsa
13,Tu Cariñito,0.667,0.873,0.337,251253,2.24e-06,-8.751,187.441,0.0469,salsa
14,Tu Sonrisa,0.786,0.912,0.401,274160,0.00114,-2.894,128.896,0.0567,salsa
15,Persona Ideal - Me Tengo Que Ir,0.527,0.59,0.39,279850,0.0,-8.897,96.687,0.0347,salsa
16,Idilio,0.527,0.715,0.552,308693,0.00622,-8.309,93.979,0.0398,salsa
17,Procura,0.805,0.757,0.279,271031,0.000839,-7.46,102.14,0.0355,salsa
18,Valió la Pena - Salsa Version,0.521,0.704,0.332,289467,7.1e-06,-5.772,98.364,0.0513,salsa
19,Desnúdate Mujer,0.658,0.744,0.128,287120,2.39e-05,-10.057,99.613,0.0365,salsa
20,"Oiga, Mire, Vea",0.634,0.779,0.44,325642,0.0,-5.909,179.963,0.0478,salsa
21,Ahora Quien - Salsa Version,0.553,0.632,0.375,309587,0.0,-4.837,85.1,0.0782,salsa
22,Deseándote,0.559,0.838,0.492,281187,0.0,-4.534,95.519,0.0484,salsa
23,Brujeria,0.795,0.623,0.565,205813,1.09e-05,-5.375,93.03,0.0461,salsa
24,Conteo Regresivo - Salsa Version,0.777,0.72,0.778,266787,0.0,-6.162,163.905,0.0803,salsa
25,La Dueña del Swing,0.676,0.872,0.672,260600,4.28e-05,-7.739,154.986,0.0473,salsa
26,Anhelo,0.739,0.521,0.404,248555,4.09e-06,-13.858,91.095,0.0471,salsa
27,Gotas De Lluvia,0.635,0.856,0.701,354973,0.00019,-3.946,97.276,0.0375,salsa
28,Me Niegas,0.679,0.713,0.0226,201947,0.17,-6.625,173.995,0.0499,salsa
29,Aquel Lugar,0.75,0.64,0.37,231410,0.0,-4.537,92.038,0.0365,salsa
30,Suavemente,0.809,0.883,0.238,266307,0.00234,-2.965,124.096,0.0689,salsa
31,Persona Ideal,0.467,0.715,0.398,281260,0.0,-4.916,97.765,0.0324,salsa
32,Qué Precio Tiene el Cielo - Salsa Version,0.42,0.843,0.248,302947,0.0,-4.692,173.91,0.0647,salsa
33,Fabricando Fantasías - Salsa Version,0.726,0.857,0.244,272267,0.0,-3.264,90.74,0.0424,salsa
34,Está Rico,0.817,0.74,0.266,215151,0.0,-4.566,130.04,0.283,salsa
35,Te Va A Doler,0.606,0.839,0.404,292920,0.0,-4.39,177.668,0.0456,salsa
36,El Día De Mi Suerte,0.56,0.855,0.605,328787,0.0,-5.232,97.097,0.0529,salsa
37,Vivir Lo Nuestro,0.636,0.672,0.573,367027,0.0,-6.667,91.191,0.0412,salsa
38,Rebelión,0.565,0.778,0.426,287893,0.0135,-7.07,105.807,0.0586,salsa
39,Y Hubo Alguien,0.474,0.879,0.636,388360,0.0,-3.979,91.094,0.115,salsa
40,El Cantante,0.549,0.498,0.694,626880,3.87e-05,-9.203,95.345,0.0371,salsa
41,Manos de Tijera,0.733,0.684,0.614,230226,2.14e-05,-6.736,153.943,0.0344,salsa
42,Talento De Televisión,0.779,0.796,0.701,279320,3.99e-05,-6.675,104.947,0.0434,salsa
43,Casi Te Envidio,0.67,0.567,0.496,321200,0.0,-10.418,95.926,0.0888,salsa
44,Lluvia,0.639,0.729,0.471,297053,2.78e-05,-8.017,165.39,0.0378,salsa
45,Mi Mayor Venganza,0.42,0.753,0.542,313560,1.87e-05,-7.347,81.417,0.062,salsa
46,Parecen Viernes,0.658,0.863,0.287,268440,1.53e-05,-3.575,96.499,0.0352,salsa
47,Quimbara,0.6,0.633,0.741,291947,0.0736,-7.507,120.627,0.0667,salsa
48,Una Aventura,0.699,0.83,0.275,316093,0.00241,-10.935,92.855,0.0365,salsa
49,Amores Como el Nuestro,0.679,0.62,0.549,301573,0.0189,-10.943,179.505,0.0469,salsa
0,Can't Help Falling in Love,0.396,0.293,0.941,182360,0.000196,-14.062,100.307,0.0275,rock-n-roll
1,Stand by Me,0.65,0.306,0.57,180056,7.07e-06,-9.443,118.068,0.0393,rock-n-roll
2,"December, 1963 (Oh What a Night!)",0.737,0.495,0.0588,197147,9.12e-06,-13.489,104.409,0.027,rock-n-roll
3,Johnny B. Goode,0.534,0.803,0.741,161560,6.07e-05,-9.129,167.983,0.0743,rock-n-roll
4,Happy Together,0.584,0.367,0.55,176293,1.38e-05,-9.638,120.175,0.0328,rock-n-roll
5,Do You Believe in Magic?,0.553,0.738,0.213,125827,0.0,-7.963,138.602,0.0457,rock-n-roll
6,I'm a Believer - 2006 Remaster,0.526,0.775,0.707,167373,2.05e-05,-6.05,80.106,0.0352,rock-n-roll
7,We Belong Together,0.684,0.247,0.872,116627,0.000166,-13.71,106.522,0.0281,rock-n-roll
8,Can't Take My Eyes off You,0.575,0.764,0.566,203240,1.07e-05,-7.448,123.821,0.0746,rock-n-roll
9,Unchained Melody,0.339,0.208,0.396,218013,0.000519,-16.725,98.54,0.0308,rock-n-roll
10,Suspicious Minds,0.487,0.382,0.0422,261280,4.74e-06,-10.889,116.557,0.0309,rock-n-roll
11,Burning Love,0.66,0.748,0.0993,170293,0.00585,-11.206,143.549,0.0284,rock-n-roll
12,(Your Love Keeps Lifting Me) Higher & Higher,0.634,0.677,0.318,179120,0.0,-7.19,95.792,0.0448,rock-n-roll
13,Runaround Sue,0.364,0.607,0.451,171600,0.0,-9.791,79.987,0.125,rock-n-roll
14,Under the Boardwalk,0.747,0.226,0.908,161960,0.000168,-13.635,123.792,0.0414,rock-n-roll
15,"Oh, Pretty Woman",0.619,0.603,0.712,178933,0.0,-9.481,127.433,0.0342,rock-n-roll
16,Can't Take My Eyes off You,0.581,0.78,0.508,203680,1.07e-05,-7.053,123.711,0.0567,rock-n-roll
17,Beyond the Sea,0.521,0.516,0.723,172480,0.0,-7.456,136.483,0.0369,rock-n-roll
18,Daydream Believer,0.51,0.488,0.256,179613,0.0,-10.304,125.683,0.0304,rock-n-roll
19,Great Balls Of Fire,0.533,0.729,0.563,111536,0.0,-7.227,78.67,0.0714,rock-n-roll
20,Sugar Sugar,0.757,0.725,0.399,167213,0.0,-7.259,122.439,0.0275,rock-n-roll
21,La Bamba - Single Version,0.516,0.809,0.787,126960,0.000331,-6.419,75.099,0.0545,rock-n-roll
22,Be My Baby,0.511,0.769,0.181,160907,0.0,-7.032,129.657,0.042,rock-n-roll
23,When a Man Loves a Woman,0.516,0.15,0.13,173867,0.0755,-20.41,97.398,0.0272,rock-n-roll
24,Come A Little Bit Closer,0.636,0.684,0.52,166667,0.0015,-9.302,132.509,0.057,rock-n-roll
25,Jailhouse Rock,0.623,0.537,0.332,146933,1.4e-05,-10.014,166.885,0.0726,rock-n-roll
26,I Got You Babe,0.629,0.795,0.136,190080,5.44e-06,-6.02,110.583,0.0278,rock-n-roll
27,Rockin' Robin,0.541,0.608,0.298,160080,0.0,-13.083,171.992,0.106,rock-n-roll
28,Be My Baby,0.512,0.771,0.168,160907,0.0,-7.006,129.639,0.0402,rock-n-roll
29,All I Have to Do Is Dream,0.534,0.462,0.839,143333,0.0,-8.172,96.195,0.0266,rock-n-roll
30,Stand by Me,0.632,0.232,0.428,175493,4.95e-06,-12.326,119.136,0.0318,rock-n-roll
31,You Never Can Tell,0.525,0.852,0.731,161907,5.11e-05,-9.519,157.404,0.222,rock-n-roll
32,Everyday,0.747,0.219,0.584,129120,2.57e-05,-12.562,135.562,0.0371,rock-n-roll
33,Earth Angel (Will You Be Mine),0.524,0.177,0.865,179427,0.0,-12.306,69.125,0.0302,rock-n-roll
34,The Wanderer,0.59,0.546,0.301,168640,0.0,-10.213,114.04,0.0436,rock-n-roll
35,You Got It,0.649,0.618,0.596,210267,1.46e-06,-10.728,114.688,0.0265,rock-n-roll
36,Come Go With Me,0.566,0.534,0.713,162293,0.0,-9.416,129.69,0.0409,rock-n-roll
37,Always On My Mind,0.358,0.387,0.746,218440,0.0121,-14.342,181.183,0.0324,rock-n-roll
38,I'm Into Something Good,0.592,0.458,0.716,153507,0.0,-8.2,133.551,0.0296,rock-n-roll
39,Jailhouse Rock,0.647,0.582,0.41,146480,1.93e-06,-9.538,167.396,0.0755,rock-n-roll
40,If I Can Dream,0.325,0.715,0.00708,191840,2.79e-05,-7.744,93.914,0.0368,rock-n-roll
41,Yakety Yak - 2007 Remaster,0.641,0.834,0.626,116027,0.000534,-7.831,120.948,0.242,rock-n-roll
42,Sherry,0.701,0.471,0.647,152160,0.0,-8.072,117.564,0.0421,rock-n-roll
43,Summer in the City - Remastered,0.423,0.681,0.0592,160307,0.000177,-9.756,110.461,0.0398,rock-n-roll
44,Only You (And You Alone),0.419,0.331,0.932,160093,0.0,-10.497,80.647,0.0293,rock-n-roll
45,"Sugar, Sugar",0.736,0.871,0.466,167187,0.0,-2.786,122.395,0.0278,rock-n-roll
46,Hey! Baby - Remastered,0.515,0.623,0.359,143627,0.0,-5.597,64.253,0.036,rock-n-roll
47,Groovin',0.605,0.455,0.595,151289,0.0,-8.903,106.825,0.0301,rock-n-roll
48,White Christmas,0.519,0.058,0.956,143907,0.000524,-19.065,93.539,0.0407,rock-n-roll
49,I'll Be Home for Christmas,0.479,0.0305,0.98,114667,0.000685,-18.195,75.94,0.0281,rock-n-roll
0,TQG,0.72,0.63,0.673,199440,0.0,-3.547,179.974,0.277,reggae
1,Me Porto Bonito,0.911,0.712,0.0901,178567,2.68e-05,-5.105,92.005,0.0817,reggae
2,Tití Me Preguntó,0.65,0.715,0.0993,243717,0.000291,-5.198,106.672,0.253,reggae
3,Chanel,0.852,0.675,0.397,201993,0.00317,-5.738,132.005,0.0363,reggae
4,Classy 101,0.859,0.658,0.145,195987,0.0,-4.79,100.065,0.159,reggae
5,Efecto,0.801,0.475,0.141,213061,1.73e-05,-8.797,98.047,0.0516,reggae
6,Ojitos Lindos,0.647,0.686,0.08,258299,1.34e-06,-5.745,79.928,0.0413,reggae
7,Gato de Noche,0.892,0.662,0.169,227013,1.24e-06,-3.894,93.976,0.162,reggae
8,LA CANCIÓN,0.754,0.646,0.152,242573,1.85e-05,-5.795,176.089,0.317,reggae
9,Santeria,0.682,0.765,0.0268,182747,3.42e-05,-5.021,90.807,0.0395,reggae
10,Moscow Mule,0.804,0.674,0.294,245940,1.18e-06,-5.453,99.968,0.0333,reggae
11,Mejor Que Yo,0.624,0.655,0.18,242697,0.0,-4.177,178.083,0.0547,reggae
12,Mas Rica Que Ayer,0.818,0.666,0.343,199149,0.0,-5.319,93.95,0.0759,reggae
13,Yandel 150,0.783,0.729,0.0492,216148,0.000272,-3.549,167.968,0.0691,reggae
14,La Bachata,0.835,0.679,0.583,162638,1.98e-06,-5.329,124.98,0.0364,reggae
15,CHORRITO PA LAS ANIMAS,0.743,0.831,0.114,168133,6.43e-05,-4.042,95.975,0.0584,reggae
16,Neverita,0.876,0.498,0.0706,173119,0.0,-7.511,122.016,0.0478,reggae
17,Could You Be Loved,0.916,0.72,0.36,237000,0.00016,-8.548,103.312,0.1,reggae
18,Hey Mor,0.901,0.589,0.00302,196600,0.000237,-6.713,98.002,0.289,reggae
19,PROVENZA,0.87,0.517,0.576,207627,0.00553,-7.918,111.002,0.0475,reggae
20,Party,0.829,0.799,0.0151,227629,0.000543,-5.389,97.013,0.0897,reggae
21,EL HECHIZO,0.664,0.529,0.539,167988,5.28e-05,-6.149,148.12,0.0392,reggae
22,X SI VOLVEMOS,0.794,0.807,0.334,200120,0.0,-3.447,178.003,0.326,reggae
23,MAÑANA SERÁ BONITO,0.777,0.715,0.455,210973,3.5e-05,-4.569,92.006,0.0874,reggae
24,No Me Conoce - Remix,0.804,0.787,0.14,309120,0.0,-3.824,91.974,0.0746,reggae
25,AMARGURA,0.92,0.696,0.183,170480,0.0,-3.356,106.966,0.0742,reggae
26,X SI VOLVEMOS,0.793,0.78,0.341,203360,0.0,-4.247,178.046,0.249,reggae
27,TUS GAFITAS,0.821,0.696,0.315,167787,1.07e-05,-5.796,122.005,0.043,reggae
28,Three Little Birds,0.826,0.49,0.00916,180267,4.41e-06,-10.477,74.126,0.0676,reggae
29,Yonaguni,0.644,0.648,0.276,206710,0.0,-4.601,179.951,0.118,reggae
30,Feliz Cumpleaños Ferxxo,0.865,0.573,0.0863,155960,0.0,-5.501,94.999,0.0678,reggae
31,REMIX EXCLUSIVO,0.651,0.557,0.0358,206947,0.0,-5.466,87.063,0.204,reggae
32,What I Got,0.804,0.696,0.00877,170907,0.000985,-7.47,95.721,0.0899,reggae
33,La Jumpa,0.713,0.703,0.298,255693,0.0,-5.769,123.06,0.194,reggae
34,Tarot,0.795,0.684,0.0225,237895,0.0,-3.971,114.011,0.0419,reggae
35,La Jumpa,0.887,0.234,0.111,196800,0.67,-14.52,140.02,0.178,reggae
36,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),0.639,0.703,0.0889,207301,1.78e-06,-6.33,169.888,0.0794,reggae
37,Pepas,0.762,0.766,0.00776,287120,6.98e-05,-3.955,130.001,0.0343,reggae
38,PROVENZA,0.87,0.516,0.656,210200,0.00823,-8.006,111.005,0.0541,reggae
39,Niña Bonita,0.823,0.615,0.104,187653,0.0,-4.19,90.952,0.147,reggae
40,Gasolina,0.852,0.797,0.322,192600,2.69e-06,-6.543,96.008,0.0614,reggae
41,GUCCI LOS PAÑOS,0.791,0.45,0.542,186453,0.0,-3.001,157.953,0.0393,reggae
42,CAIRO,0.957,0.677,0.483,198667,0.000438,-3.979,115.0,0.292,reggae
43,DÁKITI,0.731,0.573,0.401,205090,5.22e-05,-10.059,109.928,0.0544,reggae
44,It Wasn't Me,0.853,0.606,0.0561,227600,0.0,-4.596,94.759,0.0713,reggae
45,Yandel 150,0.783,0.729,0.0492,216148,0.000272,-3.549,167.968,0.0691,reggae
46,Dile,0.817,0.714,0.184,204600,0.000132,-7.501,94.001,0.141,reggae
47,Niña Bonita,0.823,0.615,0.104,187653,0.0,-4.19,90.952,0.147,reggae
48,Lady Mi Amor,0.782,0.618,0.0632,147067,7.44e-05,-5.288,93.016,0.055,reggae
49,Normal,0.709,0.56,0.034,171880,0.0,-4.867,170.082,0.171,reggae
0,TQG,0.72,0.63,0.673,199440,0.0,-3.547,179.974,0.277,reggaeton
1,Me Porto Bonito,0.911,0.712,0.0901,178567,2.68e-05,-5.105,92.005,0.0817,reggaeton
2,Tití Me Preguntó,0.65,0.715,0.0993,243717,0.000291,-5.198,106.672,0.253,reggaeton
3,Chanel,0.852,0.675,0.397,201993,0.00317,-5.738,132.005,0.0363,reggaeton
4,Classy 101,0.859,0.658,0.145,195987,0.0,-4.79,100.065,0.159,reggaeton
5,Efecto,0.801,0.475,0.141,213061,1.73e-05,-8.797,98.047,0.0516,reggaeton
6,Ojitos Lindos,0.647,0.686,0.08,258299,1.34e-06,-5.745,79.928,0.0413,reggaeton
7,Gato de Noche,0.892,0.662,0.169,227013,1.24e-06,-3.894,93.976,0.162,reggaeton
8,LA CANCIÓN,0.754,0.646,0.152,242573,1.85e-05,-5.795,176.089,0.317,reggaeton
9,Moscow Mule,0.804,0.674,0.294,245940,1.18e-06,-5.453,99.968,0.0333,reggaeton
10,Mejor Que Yo,0.624,0.655,0.18,242697,0.0,-4.177,178.083,0.0547,reggaeton
11,Mas Rica Que Ayer,0.818,0.666,0.343,199149,0.0,-5.319,93.95,0.0759,reggaeton
12,Yandel 150,0.783,0.729,0.0492,216148,0.000272,-3.549,167.968,0.0691,reggaeton
13,La Bachata,0.835,0.679,0.583,162638,1.98e-06,-5.329,124.98,0.0364,reggaeton
14,CHORRITO PA LAS ANIMAS,0.743,0.831,0.114,168133,6.43e-05,-4.042,95.975,0.0584,reggaeton
15,Neverita,0.876,0.498,0.0706,173119,0.0,-7.511,122.016,0.0478,reggaeton
16,Hey Mor,0.901,0.589,0.00302,196600,0.000237,-6.713,98.002,0.289,reggaeton
17,PROVENZA,0.87,0.517,0.576,207627,0.00553,-7.918,111.002,0.0475,reggaeton
18,Party,0.829,0.799,0.0151,227629,0.000543,-5.389,97.013,0.0897,reggaeton
19,EL HECHIZO,0.664,0.529,0.539,167988,5.28e-05,-6.149,148.12,0.0392,reggaeton
20,X SI VOLVEMOS,0.794,0.807,0.334,200120,0.0,-3.447,178.003,0.326,reggaeton
21,MAÑANA SERÁ BONITO,0.777,0.715,0.455,210973,3.5e-05,-4.569,92.006,0.0874,reggaeton
22,X SI VOLVEMOS,0.793,0.78,0.341,203360,0.0,-4.247,178.046,0.249,reggaeton
23,AMARGURA,0.92,0.696,0.183,170480,0.0,-3.356,106.966,0.0742,reggaeton
24,No Me Conoce - Remix,0.804,0.787,0.14,309120,0.0,-3.824,91.974,0.0746,reggaeton
25,TUS GAFITAS,0.821,0.696,0.315,167787,1.07e-05,-5.796,122.005,0.043,reggaeton
26,Yonaguni,0.644,0.648,0.276,206710,0.0,-4.601,179.951,0.118,reggaeton
27,Feliz Cumpleaños Ferxxo,0.865,0.573,0.0863,155960,0.0,-5.501,94.999,0.0678,reggaeton
28,REMIX EXCLUSIVO,0.651,0.557,0.0358,206947,0.0,-5.466,87.063,0.204,reggaeton
29,La Jumpa,0.713,0.703,0.298,255693,0.0,-5.769,123.06,0.194,reggaeton
30,Tarot,0.795,0.684,0.0225,237895,0.0,-3.971,114.011,0.0419,reggaeton
31,La Jumpa,0.887,0.234,0.111,196800,0.67,-14.52,140.02,0.178,reggaeton
32,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),0.639,0.703,0.0889,207301,1.78e-06,-6.33,169.888,0.0794,reggaeton
33,Pepas,0.762,0.766,0.00776,287120,6.98e-05,-3.955,130.001,0.0343,reggaeton
34,PROVENZA,0.87,0.516,0.656,210200,0.00823,-8.006,111.005,0.0541,reggaeton
35,Gasolina,0.852,0.797,0.322,192600,2.69e-06,-6.543,96.008,0.0614,reggaeton
36,Niña Bonita,0.823,0.615,0.104,187653,0.0,-4.19,90.952,0.147,reggaeton
37,GUCCI LOS PAÑOS,0.791,0.45,0.542,186453,0.0,-3.001,157.953,0.0393,reggaeton
38,CAIRO,0.957,0.677,0.483,198667,0.000438,-3.979,115.0,0.292,reggaeton
39,DÁKITI,0.731,0.573,0.401,205090,5.22e-05,-10.059,109.928,0.0544,reggaeton
40,Yandel 150,0.783,0.729,0.0492,216148,0.000272,-3.549,167.968,0.0691,reggaeton
41,Dile,0.817,0.714,0.184,204600,0.000132,-7.501,94.001,0.141,reggaeton
42,Niña Bonita,0.823,0.615,0.104,187653,0.0,-4.19,90.952,0.147,reggaeton
43,Lady Mi Amor,0.782,0.618,0.0632,147067,7.44e-05,-5.288,93.016,0.055,reggaeton
44,A veces,0.801,0.629,0.0617,191187,0.0,-5.213,92.012,0.0615,reggaeton
45,Normal,0.709,0.56,0.034,171880,0.0,-4.867,170.082,0.171,reggaeton
46,VACAXIONES,0.558,0.69,0.132,186400,0.0,-5.101,90.091,0.122,reggaeton
47,FRIKI,0.826,0.878,0.0242,145120,0.0,-2.389,94.994,0.0599,reggaeton
48,Niña Bonita,0.823,0.615,0.104,187653,0.0,-4.19,90.952,0.147,reggaeton
49,BESTIES,0.779,0.825,0.146,162147,0.0,-3.366,171.926,0.306,reggaeton
0,Cupid - Twin Ver.,0.783,0.592,0.435,174253,4.15e-06,-8.332,120.018,0.0331,pop
1,Flowers,0.707,0.681,0.0632,200455,5.15e-06,-4.325,117.999,0.0668,pop
2,Kill Bill,0.644,0.735,0.0521,153947,0.144,-5.747,88.98,0.0391,pop
3,Anti-Hero,0.637,0.643,0.13,200690,1.8e-06,-6.571,97.008,0.0519,pop
4,Search & Rescue,0.817,0.44,0.0603,272113,1.42e-06,-8.482,142.024,0.0734,pop
5,Cruel Summer,0.552,0.702,0.117,178427,2.06e-05,-5.707,169.994,0.157,pop
6,Calm Down (with Selena Gomez),0.801,0.806,0.382,239318,0.000669,-5.206,106.999,0.0381,pop
7,Something in the Orange,0.369,0.192,0.555,228013,8.35e-06,-12.151,175.212,0.04,pop
8,Snooze,0.559,0.551,0.141,201800,0.0,-7.231,143.008,0.132,pop
9,Romantic Homicide,0.571,0.544,0.453,132631,0.00805,-10.613,132.052,0.0299,pop
10,Rich Flex,0.561,0.52,0.0503,239360,1.86e-06,-9.342,153.15,0.244,pop
11,Kill Bill,0.644,0.728,0.0543,153947,0.169,-5.75,88.993,0.0351,pop
12,Rock and A Hard Place,0.582,0.568,0.577,207541,0.0,-7.3,121.991,0.0275,pop
13,Here With Me,0.574,0.469,0.534,242485,9.21e-05,-8.209,132.023,0.0254,pop
14,Don’t Blame Me,0.615,0.534,0.106,236413,1.76e-05,-6.719,135.917,0.0386,pop
15,Die For You - Remix,0.531,0.525,0.232,232857,0.0,-6.5,66.9,0.0671,pop
16,Never Felt So Alone,0.436,0.409,0.499,160166,0.000166,-4.438,98.357,0.0533,pop
17,All Of The Girls You Loved Before,0.718,0.467,0.707,221407,6.92e-05,-9.66,95.96,0.0398,pop
18,I Ain't Worried,0.704,0.797,0.0826,148486,0.000745,-5.927,139.994,0.0475,pop
19,Lavender Haze,0.733,0.436,0.258,202396,0.000573,-10.489,96.985,0.08,pop
20,Chemical,0.498,0.897,0.00136,184013,0.0,-4.907,169.902,0.045,pop
21,ceilings,0.516,0.322,0.473,182888,0.00194,-11.762,148.005,0.0292,pop
